"Tabela 3268 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.";"Brasil e Município";"Ano x Classes de rendimento nominal mensal domiciliar"
"Cód.";"Brasil e Município";"2010"
"Cód.";"Brasil e Município";"Total";"Até 1/2 salário mínimo";"Mais de 1/2 a 1 salário mínimo"
"3514924";"Elisiário (SP)";"994";"1";"67"
"3514957";"Embaúba (SP)";"801";"5";"47"
"3515004";"Embu das Artes (SP)";"68225";"601";"6284"
"3515103";"Embu-Guaçu (SP)";"18117";"295";"2256"
"3515129";"Emilianópolis (SP)";"1016";"17";"112"
"3515152";"Engenheiro Coelho (SP)";"4648";"35";"406"
"3515186";"Espírito Santo do Pinhal (SP)";"12999";"49";"924"
"3515194";"Espírito Santo do Turvo (SP)";"1310";"5";"136"
"3515202";"Estrela d'Oeste (SP)";"2732";"13";"252"
"3515301";"Estrela do Norte (SP)";"799";"20";"72"
"3515350";"Euclides da Cunha Paulista (SP)";"2963";"122";"521"
"3515400";"Fartura (SP)";"4902";"33";"662"
"3515509";"Fernandópolis (SP)";"21831";"119";"1861"
"3515608";"Fernando Prestes (SP)";"1852";"5";"119"
"3515657";"Fernão (SP)";"514";"7";"80"
"3515707";"Ferraz de Vasconcelos (SP)";"48383";"591";"4897"
"3515806";"Flora Rica (SP)";"622";"13";"89"
"3515905";"Floreal (SP)";"1084";"10";"102"
"3516002";"Flórida Paulista (SP)";"3842";"46";"368"
"3516101";"Florínea (SP)";"942";"31";"133"
"3516200";"Franca (SP)";"97741";"588";"5895"
"3516309";"Francisco Morato (SP)";"43941";"832";"5018"
"3516408";"Franco da Rocha (SP)";"36267";"494";"3214"
"3516507";"Gabriel Monteiro (SP)";"927";"7";"59"
"3516606";"Gália (SP)";"2363";"19";"327"
"3516705";"Garça (SP)";"13482";"110";"1447"
"3516804";"Gastão Vidigal (SP)";"1276";"11";"100"
"3516853";"Gavião Peixoto (SP)";"1333";"9";"103"
"3516903";"General Salgado (SP)";"3607";"33";"390"
"3517000";"Getulina (SP)";"3037";"48";"363"
"3517109";"Glicério (SP)";"1421";"11";"106"
"3517208";"Guaiçara (SP)";"3244";"29";"273"
"3517307";"Guaimbê (SP)";"1691";"22";"214"
"3517406";"Guaíra (SP)";"11981";"119";"1121"
"3517505";"Guapiaçu (SP)";"5731";"35";"440"
"3517604";"Guapiara (SP)";"5420";"363";"1496"
"3517703";"Guará (SP)";"6048";"113";"755"
"3517802";"Guaraçaí (SP)";"2847";"26";"367"
"3517901";"Guaraci (SP)";"3168";"37";"356"
"3518008";"Guarani d'Oeste (SP)";"705";"15";"130"
"3518107";"Guarantã (SP)";"1945";"28";"216"
"3518206";"Guararapes (SP)";"10007";"51";"1039"
"3518305";"Guararema (SP)";"7759";"75";"844"
"3518404";"Guaratinguetá (SP)";"34183";"362";"3085"
"3518503";"Guareí (SP)";"3689";"43";"454"
"3518602";"Guariba (SP)";"10624";"95";"992"
"3518701";"Guarujá (SP)";"84968";"1108";"7517"
"3518800";"Guarulhos (SP)";"360540";"4852";"28163"
"3518859";"Guatapará (SP)";"2044";"25";"175"
"3518909";"Guzolândia (SP)";"1535";"10";"243"
"3519006";"Herculândia (SP)";"2797";"60";"475"
"3519055";"Holambra (SP)";"3333";"4";"85"
"3519071";"Hortolândia (SP)";"55393";"368";"3781"
"3519105";"Iacanga (SP)";"3104";"22";"269"
"3519204";"Iacri (SP)";"2081";"21";"258"
"3519253";"Iaras (SP)";"1390";"106";"177"
"3519303";"Ibaté (SP)";"8800";"56";"620"
"3519402";"Ibirá (SP)";"3644";"37";"323"
"3519501";"Ibirarema (SP)";"2165";"32";"218"
"3519600";"Ibitinga (SP)";"16823";"73";"1097"
"3519709";"Ibiúna (SP)";"21428";"294";"3228"
"3519808";"Icém (SP)";"2370";"23";"246"
"3519907";"Iepê (SP)";"2456";"40";"313"
"3520004";"Igaraçu do Tietê (SP)";"6861";"52";"581"
"3520103";"Igarapava (SP)";"8993";"59";"876"
"3520202";"Igaratá (SP)";"2809";"44";"375"
"3520301";"Iguape (SP)";"9076";"312";"1894"
"3520400";"Ilhabela (SP)";"9015";"64";"703"
"3520426";"Ilha Comprida (SP)";"3110";"84";"497"
"3520442";"Ilha Solteira (SP)";"8051";"56";"456"
"3520509";"Indaiatuba (SP)";"61293";"135";"2169"
"3520608";"Indiana (SP)";"1602";"12";"176"
"3520707";"Indiaporã (SP)";"1421";"23";"222"
"3520806";"Inúbia Paulista (SP)";"1177";"4";"124"
"3520905";"Ipaussu (SP)";"4110";"33";"406"
"3521002";"Iperó (SP)";"7796";"114";"702"
"3521101";"Ipeúna (SP)";"1778";"10";"100"
"3521150";"Ipiguá (SP)";"1443";"16";"132"
"3521200";"Iporanga (SP)";"1239";"109";"237"
"3521309";"Ipuã (SP)";"4379";"42";"366"
"3521408";"Iracemápolis (SP)";"5941";"26";"232"
"3521507";"Irapuã (SP)";"2248";"7";"231"
"3521606";"Irapuru (SP)";"2220";"31";"382"
"3521705";"Itaberá (SP)";"5526";"321";"1074"
"3521804";"Itaí (SP)";"7152";"184";"981"
"3521903";"Itajobi (SP)";"4857";"25";"397"
"3522000";"Itaju (SP)";"974";"5";"71"
"3522109";"Itanhaém (SP)";"28249";"649";"3723"
"3522158";"Itaoca (SP)";"991";"104";"215"
"3522208";"Itapecerica da Serra (SP)";"42789";"522";"4031"
"3522307";"Itapetininga (SP)";"42274";"385";"3985"
"3522406";"Itapeva (SP)";"26611";"694";"4188"
"3522505";"Itapevi (SP)";"57604";"725";"5225"
"3522604";"Itapira (SP)";"21187";"119";"1385"
"3522653";"Itapirapuã Paulista (SP)";"1159";"99";"309"
"3522703";"Itápolis (SP)";"13188";"66";"1100"
"3522802";"Itaporanga (SP)";"4746";"204";"1065"
"3522901";"Itapuí (SP)";"3711";"12";"247"
"3523008";"Itapura (SP)";"1350";"29";"201"
"3523107";"Itaquaquecetuba (SP)";"89670";"1537";"10073"
"3523206";"Itararé (SP)";"15143";"636";"2613"
"3523305";"Itariri (SP)";"4594";"133";"926"
"3523404";"Itatiba (SP)";"31157";"63";"1153"
"3523503";"Itatinga (SP)";"5224";"44";"469"
"3523602";"Itirapina (SP)";"4010";"36";"269"
"3523701";"Itirapuã (SP)";"1712";"22";"244"
"3523800";"Itobi (SP)";"2288";"15";"219"
"3523909";"Itu (SP)";"46503";"176";"2215"
"3524006";"Itupeva (SP)";"13296";"32";"550"
"3524105";"Ituverava (SP)";"12603";"81";"1298"
"3524204";"Jaborandi (SP)";"2024";"17";"236"
"3524303";"Jaboticabal (SP)";"22698";"151";"1619"
"3524402";"Jacareí (SP)";"64200";"547";"4981"
"3524501";"Jaci (SP)";"1756";"7";"107"
"3524600";"Jacupiranga (SP)";"5296";"98";"943"
"3524709";"Jaguariúna (SP)";"13545";"30";"543"
"3524808";"Jales (SP)";"16279";"114";"1664"
"3524907";"Jambeiro (SP)";"1648";"7";"126"
"3525003";"Jandira (SP)";"32536";"239";"2228"
"3525102";"Jardinópolis (SP)";"11134";"78";"1001"
"3525201";"Jarinu (SP)";"7093";"60";"601"
"3525300";"Jaú (SP)";"40945";"125";"2038"
"3525409";"Jeriquara (SP)";"970";"12";"146"
"3525508";"Joanópolis (SP)";"3891";"36";"491"
"3525607";"João Ramalho (SP)";"1287";"18";"100"
"3525706";"José Bonifácio (SP)";"10317";"62";"694"
"3525805";"Júlio Mesquita (SP)";"1373";"18";"227"
"3525854";"Jumirim (SP)";"854";"3";"40"
"3525904";"Jundiaí (SP)";"118243";"412";"4864"
"3526001";"Junqueirópolis (SP)";"5786";"55";"581"
"3526100";"Juquiá (SP)";"5947";"217";"1245"
"3526209";"Juquitiba (SP)";"8803";"222";"1604"
"3526308";"Lagoinha (SP)";"1695";"29";"354"
"3526407";"Laranjal Paulista (SP)";"7928";"35";"464"
"3526506";"Lavínia (SP)";"1765";"33";"213"
"3526605";"Lavrinhas (SP)";"1859";"49";"278"
"3526704";"Leme (SP)";"27922";"238";"2302"
"3526803";"Lençóis Paulista (SP)";"18153";"117";"1012"
"3526902";"Limeira (SP)";"84441";"504";"5112"
"3527009";"Lindóia (SP)";"2217";"9";"161"
"3527108";"Lins (SP)";"22858";"126";"1634"
"3527207";"Lorena (SP)";"25074";"427";"2552"
"3527256";"Lourdes (SP)";"713";"9";"56"
"3527306";"Louveira (SP)";"11051";"30";"347"
"3527405";"Lucélia (SP)";"6009";"75";"708"
"3527504";"Lucianópolis (SP)";"710";"5";"70"
"3527603";"Luís Antônio (SP)";"3210";"24";"223"
"3527702";"Luiziânia (SP)";"1559";"8";"160"
"3527801";"Lupércio (SP)";"1328";"18";"170"
"3527900";"Lutécia (SP)";"920";"16";"124"
"3528007";"Macatuba (SP)";"4649";"19";"290"
"3528106";"Macaubal (SP)";"2686";"17";"312"
"3528205";"Macedônia (SP)";"1255";"6";"132"
"3528304";"Magda (SP)";"1139";"15";"130"
"3528403";"Mairinque (SP)";"12978";"115";"1051"
"3528502";"Mairiporã (SP)";"23211";"155";"1870"
"3528601";"Manduri (SP)";"2895";"14";"310"
"3528700";"Marabá Paulista (SP)";"1231";"50";"200"
"3528809";"Maracaí (SP)";"4362";"60";"446"
"3528858";"Marapoama (SP)";"889";"7";"64"
