"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3505906";"Batatais (SP)";"Total";"Total";"49369";"24124";"25245";"29611";"17327";"12283"
"3506003";"Bauru (SP)";"Total";"Total";"300962";"144578";"156383";"185226";"100308";"84918"
"3506102";"Bebedouro (SP)";"Total";"Total";"65763";"31733";"34030";"40639";"22560";"18080"
"3506201";"Bento de Abreu (SP)";"Total";"Total";"2310";"1183";"1127";"1452";"874";"578"
"3506300";"Bernardino de Campos (SP)";"Total";"Total";"9445";"4627";"4817";"5405";"3135";"2269"
"3506359";"Bertioga (SP)";"Total";"Total";"39395";"19692";"19704";"25368";"14330";"11038"
"3506409";"Bilac (SP)";"Total";"Total";"6327";"3126";"3201";"4115";"2279";"1836"
"3506508";"Birigui (SP)";"Total";"Total";"95444";"46323";"49121";"62250";"33768";"28482"
"3506607";"Biritiba Mirim (SP)";"Total";"Total";"24118";"12102";"12016";"14295";"8349";"5946"
"3506706";"Boa Esperança do Sul (SP)";"Total";"Total";"11576";"5817";"5759";"6974";"4090";"2884"
"3506805";"Bocaina (SP)";"Total";"Total";"9404";"4661";"4744";"6242";"3535";"2707"
"3506904";"Bofete (SP)";"Total";"Total";"8187";"4216";"3971";"4773";"2914";"1859"
"3507001";"Boituva (SP)";"Total";"Total";"41424";"20770";"20653";"26297";"15282";"11015"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"Total";"16769";"8414";"8355";"9288";"5518";"3771"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"Total";"2918";"1491";"1427";"1594";"1018";"576"
"3507209";"Borá (SP)";"Total";"Total";"721";"369";"353";"432";"268";"164"
"3507308";"Boracéia (SP)";"Total";"Total";"3662";"1872";"1790";"2312";"1356";"956"
"3507407";"Borborema (SP)";"Total";"Total";"12681";"6382";"6300";"8060";"4538";"3521"
"3507456";"Borebi (SP)";"Total";"Total";"1941";"958";"983";"1136";"659";"477"
"3507506";"Botucatu (SP)";"Total";"Total";"110647";"53194";"57453";"65009";"35329";"29680"
"3507605";"Bragança Paulista (SP)";"Total";"Total";"128454";"62815";"65640";"77256";"43143";"34112"
"3507704";"Braúna (SP)";"Total";"Total";"4395";"2257";"2139";"2621";"1611";"1009"
"3507753";"Brejo Alegre (SP)";"Total";"Total";"2232";"1155";"1078";"1364";"795";"568"
"3507803";"Brodowski (SP)";"Total";"Total";"18266";"9006";"9260";"11586";"6722";"4864"
"3507902";"Brotas (SP)";"Total";"Total";"18649";"9232";"9417";"11531";"6563";"4968"
"3508009";"Buri (SP)";"Total";"Total";"15234";"7784";"7451";"7381";"4825";"2556"
"3508108";"Buritama (SP)";"Total";"Total";"13512";"6735";"6778";"8085";"4789";"3296"
"3508207";"Buritizal (SP)";"Total";"Total";"3570";"1820";"1750";"2135";"1287";"848"
"3508306";"Cabrália Paulista (SP)";"Total";"Total";"3727";"1886";"1841";"2096";"1246";"851"
"3508405";"Cabreúva (SP)";"Total";"Total";"34804";"17552";"17252";"22296";"12957";"9340"
"3508504";"Caçapava (SP)";"Total";"Total";"72988";"35889";"37099";"40754";"24183";"16571"
"3508603";"Cachoeira Paulista (SP)";"Total";"Total";"25933";"12673";"13261";"14091";"8215";"5875"
"3508702";"Caconde (SP)";"Total";"Total";"15909";"7941";"7968";"9742";"5879";"3863"
"3508801";"Cafelândia (SP)";"Total";"Total";"14491";"7119";"7372";"8164";"4872";"3292"
"3508900";"Caiabu (SP)";"Total";"Total";"3586";"1833";"1754";"1867";"1185";"681"
"3509007";"Caieiras (SP)";"Total";"Total";"73504";"35640";"37864";"46484";"25369";"21115"
"3509106";"Caiuá (SP)";"Total";"Total";"4398";"2332";"2065";"1983";"1271";"711"
"3509205";"Cajamar (SP)";"Total";"Total";"53921";"26734";"27186";"30903";"17495";"13408"
"3509254";"Cajati (SP)";"Total";"Total";"23397";"11814";"11583";"11910";"7735";"4175"
"3509304";"Cajobi (SP)";"Total";"Total";"8581";"4398";"4182";"5377";"3241";"2136"
"3509403";"Cajuru (SP)";"Total";"Total";"20025";"9931";"10094";"11909";"7266";"4643"
"3509452";"Campina do Monte Alegre (SP)";"Total";"Total";"4725";"2428";"2297";"2490";"1544";"946"
"3509502";"Campinas (SP)";"Total";"Total";"949924";"454635";"495289";"581495";"314473";"267022"
"3509601";"Campo Limpo Paulista (SP)";"Total";"Total";"63229";"30853";"32376";"39481";"22196";"17286"
