"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3500709";"Agudos (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500709";"Agudos (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500758";"Alambari (SP)";"Total";"15 a 19 anos";"416";"236";"180"
"3500758";"Alambari (SP)";"Total";"15 a 17 anos";"226";"90";"135"
"3500758";"Alambari (SP)";"Total";"15 anos";"...";"...";"..."
"3500758";"Alambari (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500758";"Alambari (SP)";"Total";"18 e 19 anos";"190";"146";"44"
"3500758";"Alambari (SP)";"Total";"20 a 24 anos";"429";"333";"96"
"3500758";"Alambari (SP)";"Total";"25 a 29 anos";"446";"349";"97"
"3500758";"Alambari (SP)";"Total";"30 a 34 anos";"389";"327";"62"
"3500758";"Alambari (SP)";"Total";"35 a 39 anos";"315";"251";"64"
"3500758";"Alambari (SP)";"Total";"40 a 44 anos";"305";"233";"72"
"3500758";"Alambari (SP)";"Total";"45 a 49 anos";"273";"185";"88"
"3500758";"Alambari (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500758";"Alambari (SP)";"Total";"50 a 54 anos";"272";"145";"128"
"3500758";"Alambari (SP)";"Total";"55 a 59 anos";"235";"134";"101"
"3500758";"Alambari (SP)";"Total";"60 a 69 anos";"322";"100";"222"
"3500758";"Alambari (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500758";"Alambari (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500808";"Alfredo Marcondes (SP)";"Total";"15 a 19 anos";"293";"132";"161"
"3500808";"Alfredo Marcondes (SP)";"Total";"15 a 17 anos";"193";"52";"141"
"3500808";"Alfredo Marcondes (SP)";"Total";"15 anos";"...";"...";"..."
"3500808";"Alfredo Marcondes (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500808";"Alfredo Marcondes (SP)";"Total";"18 e 19 anos";"100";"80";"20"
"3500808";"Alfredo Marcondes (SP)";"Total";"20 a 24 anos";"307";"247";"60"
"3500808";"Alfredo Marcondes (SP)";"Total";"25 a 29 anos";"250";"209";"41"
"3500808";"Alfredo Marcondes (SP)";"Total";"30 a 34 anos";"269";"226";"43"
"3500808";"Alfredo Marcondes (SP)";"Total";"35 a 39 anos";"277";"217";"60"
"3500808";"Alfredo Marcondes (SP)";"Total";"40 a 44 anos";"280";"218";"62"
"3500808";"Alfredo Marcondes (SP)";"Total";"45 a 49 anos";"279";"211";"68"
"3500808";"Alfredo Marcondes (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500808";"Alfredo Marcondes (SP)";"Total";"50 a 54 anos";"236";"158";"78"
"3500808";"Alfredo Marcondes (SP)";"Total";"55 a 59 anos";"236";"126";"110"
"3500808";"Alfredo Marcondes (SP)";"Total";"60 a 69 anos";"405";"111";"294"
"3500808";"Alfredo Marcondes (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500808";"Alfredo Marcondes (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500907";"Altair (SP)";"Total";"15 a 19 anos";"338";"144";"194"
"3500907";"Altair (SP)";"Total";"15 a 17 anos";"157";"36";"121"
"3500907";"Altair (SP)";"Total";"15 anos";"...";"...";"..."
"3500907";"Altair (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500907";"Altair (SP)";"Total";"18 e 19 anos";"181";"108";"73"
"3500907";"Altair (SP)";"Total";"20 a 24 anos";"346";"253";"93"
"3500907";"Altair (SP)";"Total";"25 a 29 anos";"383";"302";"81"
"3500907";"Altair (SP)";"Total";"30 a 34 anos";"334";"271";"63"
"3500907";"Altair (SP)";"Total";"35 a 39 anos";"282";"220";"62"
"3500907";"Altair (SP)";"Total";"40 a 44 anos";"277";"193";"84"
"3500907";"Altair (SP)";"Total";"45 a 49 anos";"230";"180";"50"
"3500907";"Altair (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500907";"Altair (SP)";"Total";"50 a 54 anos";"186";"107";"79"
"3500907";"Altair (SP)";"Total";"55 a 59 anos";"129";"79";"50"
"3500907";"Altair (SP)";"Total";"60 a 69 anos";"244";"67";"177"
"3500907";"Altair (SP)";"Total";"60 a 64 anos";"...";"...";"..."
