"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3506359";"Bertioga (SP)";"Total";"15 a 17 anos";"6,33";"2,62";"3,71"
"3506359";"Bertioga (SP)";"Total";"15 anos";"...";"...";"..."
"3506359";"Bertioga (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506359";"Bertioga (SP)";"Total";"18 e 19 anos";"3,73";"2,82";"0,91"
"3506359";"Bertioga (SP)";"Total";"20 a 24 anos";"11,06";"8,84";"2,21"
"3506359";"Bertioga (SP)";"Total";"25 a 29 anos";"11,00";"9,52";"1,48"
"3506359";"Bertioga (SP)";"Total";"30 a 34 anos";"11,03";"9,55";"1,49"
"3506359";"Bertioga (SP)";"Total";"35 a 39 anos";"9,89";"8,46";"1,44"
"3506359";"Bertioga (SP)";"Total";"40 a 44 anos";"8,43";"7,39";"1,04"
"3506359";"Bertioga (SP)";"Total";"45 a 49 anos";"6,97";"5,69";"1,28"
"3506359";"Bertioga (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506359";"Bertioga (SP)";"Total";"50 a 54 anos";"5,30";"3,81";"1,49"
"3506359";"Bertioga (SP)";"Total";"55 a 59 anos";"5,08";"2,69";"2,39"
"3506359";"Bertioga (SP)";"Total";"60 a 69 anos";"5,79";"2,09";"3,69"
"3506359";"Bertioga (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506359";"Bertioga (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3506409";"Bilac (SP)";"Total";"15 a 19 anos";"8,69";"5,30";"3,40"
"3506409";"Bilac (SP)";"Total";"15 a 17 anos";"5,38";"2,63";"2,76"
"3506409";"Bilac (SP)";"Total";"15 anos";"...";"...";"..."
"3506409";"Bilac (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506409";"Bilac (SP)";"Total";"18 e 19 anos";"3,31";"2,67";"0,64"
"3506409";"Bilac (SP)";"Total";"20 a 24 anos";"8,98";"7,68";"1,30"
"3506409";"Bilac (SP)";"Total";"25 a 29 anos";"9,18";"8,26";"0,92"
"3506409";"Bilac (SP)";"Total";"30 a 34 anos";"8,47";"7,68";"0,79"
"3506409";"Bilac (SP)";"Total";"35 a 39 anos";"8,66";"7,84";"0,82"
"3506409";"Bilac (SP)";"Total";"40 a 44 anos";"8,39";"7,40";"0,99"
"3506409";"Bilac (SP)";"Total";"45 a 49 anos";"7,74";"6,89";"0,86"
"3506409";"Bilac (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506409";"Bilac (SP)";"Total";"50 a 54 anos";"7,34";"5,06";"2,28"
"3506409";"Bilac (SP)";"Total";"55 a 59 anos";"6,38";"3,93";"2,46"
"3506409";"Bilac (SP)";"Total";"60 a 69 anos";"9,34";"3,01";"6,33"
"3506409";"Bilac (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506409";"Bilac (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3506508";"Birigui (SP)";"Total";"15 a 19 anos";"8,87";"5,09";"3,78"
"3506508";"Birigui (SP)";"Total";"15 a 17 anos";"5,43";"2,42";"3,02"
"3506508";"Birigui (SP)";"Total";"15 anos";"...";"...";"..."
"3506508";"Birigui (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506508";"Birigui (SP)";"Total";"18 e 19 anos";"3,44";"2,68";"0,76"
"3506508";"Birigui (SP)";"Total";"20 a 24 anos";"9,44";"8,21";"1,23"
"3506508";"Birigui (SP)";"Total";"25 a 29 anos";"10,00";"8,95";"1,06"
"3506508";"Birigui (SP)";"Total";"30 a 34 anos";"9,75";"8,41";"1,34"
"3506508";"Birigui (SP)";"Total";"35 a 39 anos";"9,44";"8,24";"1,20"
"3506508";"Birigui (SP)";"Total";"40 a 44 anos";"9,04";"7,82";"1,22"
"3506508";"Birigui (SP)";"Total";"45 a 49 anos";"8,13";"6,70";"1,43"
"3506508";"Birigui (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506508";"Birigui (SP)";"Total";"50 a 54 anos";"7,11";"5,10";"2,01"
"3506508";"Birigui (SP)";"Total";"55 a 59 anos";"5,74";"3,13";"2,62"
"3506508";"Birigui (SP)";"Total";"60 a 69 anos";"8,02";"2,60";"5,42"
"3506508";"Birigui (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506508";"Birigui (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3506607";"Biritiba Mirim (SP)";"Total";"15 a 19 anos";"10,58";"5,26";"5,32"
"3506607";"Biritiba Mirim (SP)";"Total";"15 a 17 anos";"5,94";"2,02";"3,92"
"3506607";"Biritiba Mirim (SP)";"Total";"15 anos";"...";"...";"..."
"3506607";"Biritiba Mirim (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506607";"Biritiba Mirim (SP)";"Total";"18 e 19 anos";"4,64";"3,24";"1,40"
"3506607";"Biritiba Mirim (SP)";"Total";"20 a 24 anos";"10,38";"8,03";"2,35"
"3506607";"Biritiba Mirim (SP)";"Total";"25 a 29 anos";"9,92";"8,12";"1,81"
"3506607";"Biritiba Mirim (SP)";"Total";"30 a 34 anos";"8,94";"7,46";"1,48"
"3506607";"Biritiba Mirim (SP)";"Total";"35 a 39 anos";"8,79";"7,38";"1,41"
"3506607";"Biritiba Mirim (SP)";"Total";"40 a 44 anos";"8,03";"6,29";"1,74"
"3506607";"Biritiba Mirim (SP)";"Total";"45 a 49 anos";"7,30";"5,77";"1,53"
"3506607";"Biritiba Mirim (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506607";"Biritiba Mirim (SP)";"Total";"50 a 54 anos";"5,86";"3,37";"2,49"
"3506607";"Biritiba Mirim (SP)";"Total";"55 a 59 anos";"5,05";"2,85";"2,21"
"3506607";"Biritiba Mirim (SP)";"Total";"60 a 69 anos";"7,90";"3,05";"4,85"
"3506607";"Biritiba Mirim (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506607";"Biritiba Mirim (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3506706";"Boa Esperança do Sul (SP)";"Total";"15 a 19 anos";"10,56";"3,81";"6,76"
"3506706";"Boa Esperança do Sul (SP)";"Total";"15 a 17 anos";"6,51";"1,52";"4,99"
"3506706";"Boa Esperança do Sul (SP)";"Total";"15 anos";"...";"...";"..."
"3506706";"Boa Esperança do Sul (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506706";"Boa Esperança do Sul (SP)";"Total";"18 e 19 anos";"4,05";"2,28";"1,77"
"3506706";"Boa Esperança do Sul (SP)";"Total";"20 a 24 anos";"10,33";"8,04";"2,29"
"3506706";"Boa Esperança do Sul (SP)";"Total";"25 a 29 anos";"10,46";"8,63";"1,83"
"3506706";"Boa Esperança do Sul (SP)";"Total";"30 a 34 anos";"9,61";"8,56";"1,05"
"3506706";"Boa Esperança do Sul (SP)";"Total";"35 a 39 anos";"8,33";"7,26";"1,07"
"3506706";"Boa Esperança do Sul (SP)";"Total";"40 a 44 anos";"8,20";"6,66";"1,54"
"3506706";"Boa Esperança do Sul (SP)";"Total";"45 a 49 anos";"7,69";"6,11";"1,58"
"3506706";"Boa Esperança do Sul (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506706";"Boa Esperança do Sul (SP)";"Total";"50 a 54 anos";"6,45";"4,37";"2,09"
"3506706";"Boa Esperança do Sul (SP)";"Total";"55 a 59 anos";"5,28";"3,43";"1,84"
"3506706";"Boa Esperança do Sul (SP)";"Total";"60 a 69 anos";"7,09";"2,50";"4,59"
"3506706";"Boa Esperança do Sul (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506706";"Boa Esperança do Sul (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3506805";"Bocaina (SP)";"Total";"15 a 19 anos";"9,56";"6,26";"3,30"
"3506805";"Bocaina (SP)";"Total";"15 a 17 anos";"5,71";"3,09";"2,62"
"3506805";"Bocaina (SP)";"Total";"15 anos";"...";"...";"..."
"3506805";"Bocaina (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506805";"Bocaina (SP)";"Total";"18 e 19 anos";"3,85";"3,17";"0,68"
"3506805";"Bocaina (SP)";"Total";"20 a 24 anos";"9,89";"8,22";"1,67"
"3506805";"Bocaina (SP)";"Total";"25 a 29 anos";"10,44";"9,55";"0,89"
"3506805";"Bocaina (SP)";"Total";"30 a 34 anos";"9,76";"8,48";"1,28"
"3506805";"Bocaina (SP)";"Total";"35 a 39 anos";"8,47";"7,29";"1,19"
"3506805";"Bocaina (SP)";"Total";"40 a 44 anos";"8,23";"7,11";"1,12"
"3506805";"Bocaina (SP)";"Total";"45 a 49 anos";"7,79";"6,19";"1,61"
"3506805";"Bocaina (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506805";"Bocaina (SP)";"Total";"50 a 54 anos";"6,88";"5,23";"1,65"
"3506805";"Bocaina (SP)";"Total";"55 a 59 anos";"5,16";"3,14";"2,02"
"3506805";"Bocaina (SP)";"Total";"60 a 69 anos";"7,34";"3,28";"4,06"
"3506805";"Bocaina (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506805";"Bocaina (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3506904";"Bofete (SP)";"Total";"15 a 19 anos";"9,94";"4,85";"5,09"
"3506904";"Bofete (SP)";"Total";"15 a 17 anos";"6,65";"2,75";"3,90"
"3506904";"Bofete (SP)";"Total";"15 anos";"...";"...";"..."
"3506904";"Bofete (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3506904";"Bofete (SP)";"Total";"18 e 19 anos";"3,30";"2,10";"1,20"
"3506904";"Bofete (SP)";"Total";"20 a 24 anos";"8,65";"7,12";"1,53"
"3506904";"Bofete (SP)";"Total";"25 a 29 anos";"8,43";"6,76";"1,67"
"3506904";"Bofete (SP)";"Total";"30 a 34 anos";"8,56";"7,27";"1,29"
"3506904";"Bofete (SP)";"Total";"35 a 39 anos";"7,98";"6,43";"1,55"
"3506904";"Bofete (SP)";"Total";"40 a 44 anos";"7,79";"6,40";"1,39"
"3506904";"Bofete (SP)";"Total";"45 a 49 anos";"6,96";"5,52";"1,44"
"3506904";"Bofete (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3506904";"Bofete (SP)";"Total";"50 a 54 anos";"6,89";"4,74";"2,14"
"3506904";"Bofete (SP)";"Total";"55 a 59 anos";"6,64";"3,44";"3,20"
"3506904";"Bofete (SP)";"Total";"60 a 69 anos";"10,32";"3,60";"6,72"
"3506904";"Bofete (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3506904";"Bofete (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507001";"Boituva (SP)";"Total";"15 a 19 anos";"9,77";"5,57";"4,20"
"3507001";"Boituva (SP)";"Total";"15 a 17 anos";"5,63";"2,34";"3,29"
"3507001";"Boituva (SP)";"Total";"15 anos";"...";"...";"..."
"3507001";"Boituva (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507001";"Boituva (SP)";"Total";"18 e 19 anos";"4,14";"3,23";"0,91"
"3507001";"Boituva (SP)";"Total";"20 a 24 anos";"11,17";"9,57";"1,60"
"3507001";"Boituva (SP)";"Total";"25 a 29 anos";"11,44";"9,80";"1,64"
"3507001";"Boituva (SP)";"Total";"30 a 34 anos";"10,42";"8,78";"1,64"
"3507001";"Boituva (SP)";"Total";"35 a 39 anos";"9,11";"7,77";"1,34"
"3507001";"Boituva (SP)";"Total";"40 a 44 anos";"8,27";"6,41";"1,86"
"3507001";"Boituva (SP)";"Total";"45 a 49 anos";"7,25";"5,54";"1,71"
"3507001";"Boituva (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507001";"Boituva (SP)";"Total";"50 a 54 anos";"6,19";"4,33";"1,86"
"3507001";"Boituva (SP)";"Total";"55 a 59 anos";"5,15";"2,95";"2,20"
"3507001";"Boituva (SP)";"Total";"60 a 69 anos";"6,79";"1,88";"4,91"
"3507001";"Boituva (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507001";"Boituva (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"15 a 19 anos";"10,01";"4,17";"5,84"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"15 a 17 anos";"5,87";"1,65";"4,23"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"15 anos";"...";"...";"..."
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"18 e 19 anos";"4,14";"2,53";"1,61"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"20 a 24 anos";"10,22";"7,14";"3,08"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"25 a 29 anos";"10,94";"7,89";"3,05"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"30 a 34 anos";"9,73";"7,37";"2,36"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"35 a 39 anos";"9,30";"7,15";"2,15"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"40 a 44 anos";"8,21";"6,24";"1,97"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"45 a 49 anos";"7,71";"5,43";"2,28"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"50 a 54 anos";"6,47";"3,61";"2,86"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"55 a 59 anos";"4,60";"2,52";"2,08"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"60 a 69 anos";"7,00";"2,75";"4,25"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"15 a 19 anos";"13,57";"5,56";"8,01"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"15 a 17 anos";"9,67";"3,39";"6,28"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"15 anos";"...";"...";"..."
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"18 e 19 anos";"3,90";"2,17";"1,73"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"20 a 24 anos";"9,77";"7,51";"2,26"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"25 a 29 anos";"9,56";"7,58";"1,98"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"30 a 34 anos";"9,46";"7,18";"2,28"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"35 a 39 anos";"9,18";"6,77";"2,42"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"40 a 44 anos";"7,95";"6,05";"1,90"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"45 a 49 anos";"6,34";"4,75";"1,59"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"50 a 54 anos";"5,50";"3,32";"2,18"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"55 a 59 anos";"4,06";"2,61";"1,46"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"60 a 69 anos";"5,72";"2,08";"3,64"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507209";"Borá (SP)";"Total";"15 a 19 anos";"11,65";"4,94";"6,71"
"3507209";"Borá (SP)";"Total";"15 a 17 anos";"5,79";"1,21";"4,58"
"3507209";"Borá (SP)";"Total";"15 anos";"...";"...";"..."
"3507209";"Borá (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507209";"Borá (SP)";"Total";"18 e 19 anos";"5,86";"3,73";"2,13"
"3507209";"Borá (SP)";"Total";"20 a 24 anos";"8,32";"6,79";"1,53"
"3507209";"Borá (SP)";"Total";"25 a 29 anos";"11,37";"10,29";"1,08"
"3507209";"Borá (SP)";"Total";"30 a 34 anos";"9,85";"9,12";"0,72"
"3507209";"Borá (SP)";"Total";"35 a 39 anos";"8,60";"7,06";"1,54"
"3507209";"Borá (SP)";"Total";"40 a 44 anos";"7,35";"5,88";"1,47"
"3507209";"Borá (SP)";"Total";"45 a 49 anos";"7,90";"5,20";"2,71"
"3507209";"Borá (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507209";"Borá (SP)";"Total";"50 a 54 anos";"8,54";"6,00";"2,54"
"3507209";"Borá (SP)";"Total";"55 a 59 anos";"4,21";"2,39";"1,82"
"3507209";"Borá (SP)";"Total";"60 a 69 anos";"6,53";"1,84";"4,69"
"3507209";"Borá (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507209";"Borá (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507308";"Boracéia (SP)";"Total";"15 a 19 anos";"10,73";"5,73";"5,00"
"3507308";"Boracéia (SP)";"Total";"15 a 17 anos";"6,39";"2,32";"4,07"
"3507308";"Boracéia (SP)";"Total";"15 anos";"...";"...";"..."
"3507308";"Boracéia (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507308";"Boracéia (SP)";"Total";"18 e 19 anos";"4,35";"3,41";"0,93"
"3507308";"Boracéia (SP)";"Total";"20 a 24 anos";"10,32";"8,96";"1,37"
"3507308";"Boracéia (SP)";"Total";"25 a 29 anos";"10,00";"8,99";"1,01"
"3507308";"Boracéia (SP)";"Total";"30 a 34 anos";"8,47";"7,59";"0,87"
"3507308";"Boracéia (SP)";"Total";"35 a 39 anos";"8,55";"7,36";"1,18"
"3507308";"Boracéia (SP)";"Total";"40 a 44 anos";"7,65";"6,93";"0,71"
"3507308";"Boracéia (SP)";"Total";"45 a 49 anos";"7,21";"5,62";"1,59"
"3507308";"Boracéia (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507308";"Boracéia (SP)";"Total";"50 a 54 anos";"6,43";"4,63";"1,80"
"3507308";"Boracéia (SP)";"Total";"55 a 59 anos";"5,20";"2,84";"2,36"
"3507308";"Boracéia (SP)";"Total";"60 a 69 anos";"8,55";"3,51";"5,03"
"3507308";"Boracéia (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507308";"Boracéia (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507407";"Borborema (SP)";"Total";"15 a 19 anos";"8,62";"5,01";"3,61"
"3507407";"Borborema (SP)";"Total";"15 a 17 anos";"5,19";"2,28";"2,91"
"3507407";"Borborema (SP)";"Total";"15 anos";"...";"...";"..."
"3507407";"Borborema (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507407";"Borborema (SP)";"Total";"18 e 19 anos";"3,43";"2,72";"0,70"
"3507407";"Borborema (SP)";"Total";"20 a 24 anos";"9,85";"8,19";"1,66"
"3507407";"Borborema (SP)";"Total";"25 a 29 anos";"9,66";"8,72";"0,94"
"3507407";"Borborema (SP)";"Total";"30 a 34 anos";"9,07";"7,63";"1,43"
"3507407";"Borborema (SP)";"Total";"35 a 39 anos";"8,21";"7,04";"1,17"
"3507407";"Borborema (SP)";"Total";"40 a 44 anos";"8,07";"6,83";"1,24"
"3507407";"Borborema (SP)";"Total";"45 a 49 anos";"8,33";"6,75";"1,58"
"3507407";"Borborema (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507407";"Borborema (SP)";"Total";"50 a 54 anos";"7,42";"5,24";"2,18"
"3507407";"Borborema (SP)";"Total";"55 a 59 anos";"5,96";"3,75";"2,22"
"3507407";"Borborema (SP)";"Total";"60 a 69 anos";"8,68";"3,03";"5,65"
"3507407";"Borborema (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507407";"Borborema (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507456";"Borebi (SP)";"Total";"15 a 19 anos";"11,23";"5,59";"5,64"
"3507456";"Borebi (SP)";"Total";"15 a 17 anos";"6,60";"1,72";"4,88"
"3507456";"Borebi (SP)";"Total";"15 anos";"...";"...";"..."
"3507456";"Borebi (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507456";"Borebi (SP)";"Total";"18 e 19 anos";"4,63";"3,87";"0,75"
"3507456";"Borebi (SP)";"Total";"20 a 24 anos";"10,41";"7,92";"2,49"
"3507456";"Borebi (SP)";"Total";"25 a 29 anos";"8,50";"6,88";"1,62"
"3507456";"Borebi (SP)";"Total";"30 a 34 anos";"9,07";"7,94";"1,13"
"3507456";"Borebi (SP)";"Total";"35 a 39 anos";"8,14";"6,83";"1,31"
"3507456";"Borebi (SP)";"Total";"40 a 44 anos";"8,55";"6,97";"1,59"
"3507456";"Borebi (SP)";"Total";"45 a 49 anos";"7,94";"6,04";"1,90"
"3507456";"Borebi (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507456";"Borebi (SP)";"Total";"50 a 54 anos";"5,93";"4,46";"1,47"
"3507456";"Borebi (SP)";"Total";"55 a 59 anos";"6,12";"3,23";"2,89"
"3507456";"Borebi (SP)";"Total";"60 a 69 anos";"6,54";"1,92";"4,62"
"3507456";"Borebi (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507456";"Borebi (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507506";"Botucatu (SP)";"Total";"15 a 19 anos";"9,27";"3,96";"5,31"
"3507506";"Botucatu (SP)";"Total";"15 a 17 anos";"5,49";"1,56";"3,93"
"3507506";"Botucatu (SP)";"Total";"15 anos";"...";"...";"..."
"3507506";"Botucatu (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507506";"Botucatu (SP)";"Total";"18 e 19 anos";"3,77";"2,40";"1,37"
"3507506";"Botucatu (SP)";"Total";"20 a 24 anos";"9,62";"7,27";"2,35"
"3507506";"Botucatu (SP)";"Total";"25 a 29 anos";"10,40";"8,48";"1,92"
"3507506";"Botucatu (SP)";"Total";"30 a 34 anos";"9,47";"7,74";"1,74"
"3507506";"Botucatu (SP)";"Total";"35 a 39 anos";"8,57";"7,15";"1,42"
"3507506";"Botucatu (SP)";"Total";"40 a 44 anos";"8,12";"6,60";"1,51"
"3507506";"Botucatu (SP)";"Total";"45 a 49 anos";"7,48";"5,77";"1,70"
"3507506";"Botucatu (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507506";"Botucatu (SP)";"Total";"50 a 54 anos";"6,90";"4,81";"2,09"
"3507506";"Botucatu (SP)";"Total";"55 a 59 anos";"5,77";"2,96";"2,81"
"3507506";"Botucatu (SP)";"Total";"60 a 69 anos";"7,96";"2,83";"5,13"
"3507506";"Botucatu (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507506";"Botucatu (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507605";"Bragança Paulista (SP)";"Total";"15 a 19 anos";"9,35";"3,91";"5,44"
"3507605";"Bragança Paulista (SP)";"Total";"15 a 17 anos";"5,99";"1,68";"4,31"
"3507605";"Bragança Paulista (SP)";"Total";"15 anos";"...";"...";"..."
"3507605";"Bragança Paulista (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507605";"Bragança Paulista (SP)";"Total";"18 e 19 anos";"3,36";"2,23";"1,14"
"3507605";"Bragança Paulista (SP)";"Total";"20 a 24 anos";"9,75";"7,70";"2,05"
"3507605";"Bragança Paulista (SP)";"Total";"25 a 29 anos";"10,07";"8,49";"1,58"
"3507605";"Bragança Paulista (SP)";"Total";"30 a 34 anos";"9,87";"8,39";"1,49"
"3507605";"Bragança Paulista (SP)";"Total";"35 a 39 anos";"8,78";"7,19";"1,59"
"3507605";"Bragança Paulista (SP)";"Total";"40 a 44 anos";"7,99";"6,60";"1,39"
"3507605";"Bragança Paulista (SP)";"Total";"45 a 49 anos";"7,68";"6,06";"1,62"
"3507605";"Bragança Paulista (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507605";"Bragança Paulista (SP)";"Total";"50 a 54 anos";"6,95";"4,89";"2,06"
"3507605";"Bragança Paulista (SP)";"Total";"55 a 59 anos";"5,65";"3,18";"2,47"
"3507605";"Bragança Paulista (SP)";"Total";"60 a 69 anos";"8,00";"2,59";"5,42"
"3507605";"Bragança Paulista (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507605";"Bragança Paulista (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507704";"Braúna (SP)";"Total";"15 a 19 anos";"8,85";"4,67";"4,18"
"3507704";"Braúna (SP)";"Total";"15 a 17 anos";"5,39";"2,51";"2,88"
"3507704";"Braúna (SP)";"Total";"15 anos";"...";"...";"..."
"3507704";"Braúna (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507704";"Braúna (SP)";"Total";"18 e 19 anos";"3,46";"2,17";"1,29"
"3507704";"Braúna (SP)";"Total";"20 a 24 anos";"10,22";"8,21";"2,01"
"3507704";"Braúna (SP)";"Total";"25 a 29 anos";"9,99";"8,50";"1,49"
"3507704";"Braúna (SP)";"Total";"30 a 34 anos";"8,46";"7,22";"1,24"
"3507704";"Braúna (SP)";"Total";"35 a 39 anos";"8,08";"6,89";"1,19"
"3507704";"Braúna (SP)";"Total";"40 a 44 anos";"7,60";"6,28";"1,32"
"3507704";"Braúna (SP)";"Total";"45 a 49 anos";"6,80";"5,34";"1,46"
"3507704";"Braúna (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507704";"Braúna (SP)";"Total";"50 a 54 anos";"7,05";"4,65";"2,40"
"3507704";"Braúna (SP)";"Total";"55 a 59 anos";"5,76";"3,53";"2,24"
"3507704";"Braúna (SP)";"Total";"60 a 69 anos";"9,01";"3,19";"5,82"
"3507704";"Braúna (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3507704";"Braúna (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3507753";"Brejo Alegre (SP)";"Total";"15 a 19 anos";"9,27";"5,84";"3,43"
"3507753";"Brejo Alegre (SP)";"Total";"15 a 17 anos";"6,05";"3,08";"2,97"
"3507753";"Brejo Alegre (SP)";"Total";"15 anos";"...";"...";"..."
"3507753";"Brejo Alegre (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3507753";"Brejo Alegre (SP)";"Total";"18 e 19 anos";"3,22";"2,76";"0,46"
"3507753";"Brejo Alegre (SP)";"Total";"20 a 24 anos";"9,14";"7,60";"1,54"
"3507753";"Brejo Alegre (SP)";"Total";"25 a 29 anos";"9,63";"8,86";"0,77"
"3507753";"Brejo Alegre (SP)";"Total";"30 a 34 anos";"11,07";"9,83";"1,24"
"3507753";"Brejo Alegre (SP)";"Total";"35 a 39 anos";"8,91";"7,85";"1,07"
"3507753";"Brejo Alegre (SP)";"Total";"40 a 44 anos";"7,97";"6,60";"1,37"
"3507753";"Brejo Alegre (SP)";"Total";"45 a 49 anos";"6,81";"4,75";"2,06"
"3507753";"Brejo Alegre (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3507753";"Brejo Alegre (SP)";"Total";"50 a 54 anos";"5,70";"3,64";"2,06"
"3507753";"Brejo Alegre (SP)";"Total";"55 a 59 anos";"6,44";"3,22";"3,22"
