"Tabela 6778 - Número de estabelecimentos agropecuários, por tipologia, existência de energia elétrica, condição do produtor em relação às terras, residência da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Ano x Tipologia x Existência de energia elétrica x Condição do produtor em relação às terras"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"2017"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Agricultura familiar - sim"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"3512209";"Conchal (SP)";"Total";"Total";"Total";"359";"245"
"3512308";"Conchas (SP)";"Total";"Total";"Total";"509";"410"
"3512407";"Cordeirópolis (SP)";"Total";"Total";"Total";"120";"102"
"3512506";"Coroados (SP)";"Total";"Total";"Total";"332";"230"
"3512605";"Coronel Macedo (SP)";"Total";"Total";"Total";"284";"166"
"3512704";"Corumbataí (SP)";"Total";"Total";"Total";"355";"165"
"3512803";"Cosmópolis (SP)";"Total";"Total";"Total";"178";"119"
"3512902";"Cosmorama (SP)";"Total";"Total";"Total";"598";"406"
"3513009";"Cotia (SP)";"Total";"Total";"Total";"183";"122"
"3513108";"Cravinhos (SP)";"Total";"Total";"Total";"113";"32"
"3513207";"Cristais Paulista (SP)";"Total";"Total";"Total";"444";"201"
"3513306";"Cruzália (SP)";"Total";"Total";"Total";"97";"58"
"3513405";"Cruzeiro (SP)";"Total";"Total";"Total";"192";"105"
"3513504";"Cubatão (SP)";"Total";"Total";"Total";"3";"1"
"3513603";"Cunha (SP)";"Total";"Total";"Total";"2287";"1691"
"3513702";"Descalvado (SP)";"Total";"Total";"Total";"396";"235"
"3513801";"Diadema (SP)";"Total";"Total";"Total";"16";"15"
"3513850";"Dirce Reis (SP)";"Total";"Total";"Total";"131";"116"
"3513900";"Divinolândia (SP)";"Total";"Total";"Total";"633";"513"
"3514007";"Dobrada (SP)";"Total";"Total";"Total";"29";"10"
"3514106";"Dois Córregos (SP)";"Total";"Total";"Total";"367";"225"
"3514205";"Dolcinópolis (SP)";"Total";"Total";"Total";"107";"64"
"3514304";"Dourado (SP)";"Total";"Total";"Total";"63";"18"
"3514403";"Dracena (SP)";"Total";"Total";"Total";"572";"410"
"3514502";"Duartina (SP)";"Total";"Total";"Total";"248";"125"
"3514601";"Dumont (SP)";"Total";"Total";"Total";"178";"116"
"3514700";"Echaporã (SP)";"Total";"Total";"Total";"272";"144"
